[01:59:12] [INFO] received Windows console close event; shutting log-core down
[02:18:38] [INFO] received Windows console close event; shutting log-core down
[02:19:29] [INFO] received Windows console close event; shutting log-core down
[02:20:21] [INFO] received Windows console close event; shutting log-core down
[02:35:43] [INFO] received Windows console close event; shutting log-core down
[02:35:45] [INFO] received Windows console close event; shutting log-core down
[02:35:59] [INFO] received Windows console close event; shutting log-core down
[02:38:41] [INFO] received Windows console close event; shutting log-core down
[02:09:29] [INFO] received Windows console close event; shutting log-core down
[05:18:05] [INFO] received Windows console close event; shutting log-core down
[23:34:58] [INFO] received Windows console close event; shutting log-core down
[23:47:59] [INFO] received Windows console close event; shutting log-core down
[00:52:37] [INFO] received Windows console close event; shutting log-core down
[23:37:12] [INFO] received Windows console close event; shutting log-core down
[02:27:39] [INFO] received Windows console close event; shutting log-core down
[02:36:23] [INFO] received Windows console close event; shutting log-core down
[22:51:26] [INFO] received Windows console close event; shutting log-core down
[23:19:13] [INFO] received Windows console close event; shutting log-core down
[23:21:10] [INFO] received Windows console close event; shutting log-core down
[23:29:33] [INFO] received Windows console close event; shutting log-core down
[23:32:58] [INFO] received Windows console close event; shutting log-core down
[23:34:33] [INFO] received Windows console close event; shutting log-core down
[23:38:38] [INFO] received Windows console close event; shutting log-core down
[23:50:00] [INFO] received Windows console close event; shutting log-core down
[23:59:22] [INFO] received Windows console close event; shutting log-core down
[00:19:55] [INFO] received Windows console close event; shutting log-core down
[00:34:57] [INFO] received Windows console close event; shutting log-core down
[00:36:03] [INFO] received Windows console close event; shutting log-core down
[00:49:15] [INFO] received Windows console close event; shutting log-core down
[00:49:33] [INFO] received Windows console close event; shutting log-core down
[00:52:35] [INFO] received Windows console close event; shutting log-core down
[01:05:25] [INFO] received Windows console close event; shutting log-core down
